cluster,pi_star,U
0,0.004628958170505331,5.375423453373631
1,0.01714507833762367,4.066044123954118
2,0.008911660493113755,4.720394691999323
3,0.018521679797134392,3.9888133520881484
4,0.01740553559306565,4.050966985824159
5,0.011948457258785404,4.427153108621929
6,0.012836393123739543,4.355470929548828
7,0.0019693608616212985,6.230046224598125
8,0.013781497211902095,4.284428368217297
9,0.007119309213434426,4.944944578850107
10,0.023911632614667024,3.733390218175612
11,0.029661475733795076,3.517906188493399
12,0.013664175656235454,4.292977786614904
13,0.020205797972088522,3.901785687438512
14,0.009524695202532086,4.653867358215539
15,0.005518435350992029,5.199660909780175
16,0.01456413012221794,4.2291936141978805
17,0.011405687236025268,4.473643167628025
18,0.00922708322473122,4.685612290730805
19,0.014643635659417927,4.223749463887662
20,0.025164068955796787,3.682338137022315
21,0.02611511376017051,3.6452410609796595
22,0.013267080232135065,4.322469482569219
23,0.017505324875381464,4.045250165742785
24,0.021498814296383697,3.8397574943746915
25,0.015510616180284095,4.166230574647034
26,0.013313577784502383,4.318970878451397
27,0.009063610066611008,4.703487776193843
28,0.015414195206223048,4.17246642749068
29,0.012555295220690281,4.377612772456269
30,0.007640278114811761,4.874321274003989
31,0.0010842620824254327,6.826855631731978
32,0.009946445616089383,4.6105400161451415
33,0.01294569046234521,4.34699232905157
34,0.02283205293520454,3.7795898997848334
35,0.017828251571366166,4.026970912971688
36,0.014094699978964132,4.261956440278351
37,0.011201355332615072,4.491720496161799
38,0.020164726608531476,3.90382040847093
39,0.008008784984003875,4.827216216797843
40,0.016463786233338117,4.106592083858474
41,0.021867095163094562,3.822772276018973
42,0.005011191692995775,5.296081529296844
43,0.020679712633024858,3.8786021253270038
44,0.0054523070033134285,5.211716456514314
45,0.027366340784467796,3.598441459260288
46,0.001750961071748902,6.347590457936464
47,0.004459804011829795,5.4126504574516305
48,0.016276241987071022,4.118048781229512
49,0.012543601468398514,4.378544586574056
50,0.007865606698602905,4.8452556064001815
51,0.00889161571699097,4.722646500526722
52,0.010280406951848196,4.577515432982992
53,0.012337219481496733,4.395134611543096
54,0.004232170327866683,5.465040337630503
55,0.0017501199504298928,6.34807095029289
56,0.013017541306733672,4.341457499762777
57,0.018343715075198122,3.9984682658630075
58,0.01304453370391739,4.339386106228381
59,0.01554676881204063,4.163902455386843
60,0.01908981616070895,3.958600271426579
61,0.010614774395184871,4.545508437450337
62,0.005455409146145485,5.211147658633403
63,0.007098985353550799,4.947803413097773
64,0.019912603576529825,3.9164024021760797
65,0.01848699224472358,3.9906879161108306
66,0.011597276942134548,4.456984954794771
67,0.008260346134936822,4.796288787371207
68,0.004646314077652881,5.371681045185521
69,0.0011327637544898167,6.783094831926354
70,0.012300072358630615,4.398150133805572
71,0.01379317457363931,4.283581405285075
72,0.0056585898311356155,5.174580564251647
73,0.006034944785119855,5.11018857358471
74,0.012029761071833076,4.42037161022079
75,0.017422654679397208,4.049983926550835
76,0.012701845645801955,4.366007969635357
77,0.012575352905412259,4.376016499341434
78,0.0012386511715543117,6.693732256286335
79,0.00102000801884473,6.887944790104379
